ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,time_subset
32,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
33,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
38,utilitypv_losangeles,2,41361.178455198664,0.0,41361.178455198664,44.197320512484815,110666.14799304279,24.33239725936097,16_weeks
39,utilitypv_losangeles,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
47,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
52,utilitypv_losangeles,3,3381.6132467083116,0.0,3381.6132467083116,3.613490961722013,8447.289453567797,1.857323187592503,16_weeks
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
54,battery,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0,16_weeks
